000001.SZ,平安银行,1991-04-03
000002.SZ,万科A,1991-01-29
000004.SZ,国农科技,1991-01-14
000005.SZ,世纪星源,1990-12-10
000006.SZ,深振业A,1992-04-27
000007.SZ,全新好,1992-04-13
000008.SZ,神州高铁,1992-05-07
000009.SZ,中国宝安,1991-06-25
000010.SZ,美丽生态,1995-10-27
000011.SZ,深物业A,1992-03-30
000012.SZ,南玻A,1992-02-28
000014.SZ,沙河股份,1992-06-02
000016.SZ,深康佳A,1992-03-27
000017.SZ,深中华A,1992-03-31
000018.SZ,神州长城,1992-06-16
000019.SZ,深深宝A,1992-10-12
000020.SZ,深华发A,1992-04-28
000021.SZ,深科技,1994-02-02
000022.SZ,深赤湾A,1993-05-05
000023.SZ,深天地A,1993-04-29
000025.SZ,特力A,1993-06-21
000026.SZ,飞亚达A,1993-06-03
000027.SZ,深圳能源,1993-09-03
000028.SZ,国药一致,1993-08-09
000029.SZ,深深房A,1993-09-15
000030.SZ,富奥股份,1993-09-29
000031.SZ,中粮地产,1993-10-08
000032.SZ,深桑达A,1993-10-28
000033.SZ,*ST新都,1994-01-03
000034.SZ,神州数码,1994-05-09
000035.SZ,中国天楹,1994-04-08
000036.SZ,华联控股,1994-06-17
000037.SZ,*ST南电A,1994-07-01
000038.SZ,深大通,1994-08-08
000039.SZ,中集集团,1994-04-08
000040.SZ,宝安地产,1994-08-08
000042.SZ,中洲控股,1994-09-21
000043.SZ,中航地产,1994-09-28
000045.SZ,深纺织A,1994-08-15
000046.SZ,泛海控股,1994-09-12
000048.SZ,康达尔,1994-11-01
000049.SZ,德赛电池,1995-03-20
000050.SZ,深天马A,1995-03-15
000055.SZ,方大集团,1996-04-15
000056.SZ,皇庭国际,1996-07-08
000058.SZ,深赛格,1996-12-26
000059.SZ,华锦股份,1997-01-30
000060.SZ,中金岭南,1997-01-23
000061.SZ,农产品,1997-01-10
000062.SZ,深圳华强,1997-01-30
000063.SZ,中兴通讯,1997-11-18
000065.SZ,北方国际,1998-06-05
000066.SZ,长城电脑,1997-06-26
